Year,USDCNY,EURUSD
1/1/1992,5.4686,
2/1/1992,5.4693,
3/1/1992,5.4675,
4/1/1992,5.5101,
5/1/1992,5.4911,
6/1/1992,5.4621,
7/1/1992,5.42,
8/1/1992,5.4064,
9/1/1992,5.5002,
10/1/1992,5.5525,
11/1/1992,5.7198,
12/1/1992,5.7518,
1/1/1993,5.775,
2/1/1993,5.7402,
3/1/1993,5.719,
4/1/1993,5.7084,
5/1/1993,5.729,
6/1/1993,5.7612,
7/1/1993,5.7612,
8/1/1993,5.7883,
9/1/1993,5.7868,
10/1/1993,5.7941,
11/1/1993,5.8122,
12/1/1993,5.8,
1/1/1994,8.7,
2/1/1994,8.7055,
3/1/1994,8.708,
4/1/1994,8.7072,
5/1/1994,8.6596,
6/1/1994,8.6517,
7/1/1994,8.6197,
8/1/1994,8.5591,
9/1/1994,8.53,
10/1/1994,8.526,
11/1/1994,8.509,
12/1/1994,8.4462,
1/1/1995,8.4384,
2/1/1995,8.4311,
3/1/1995,8.4264,
4/1/1995,8.4074,
5/1/1995,8.3055,
6/1/1995,8.3011,
7/1/1995,8.3003,
8/1/1995,8.3198,
9/1/1995,8.3185,
10/1/1995,8.3149,
11/1/1995,8.3116,
12/1/1995,8.3174,
1/1/1996,8.3138,
2/1/1996,8.3211,
3/1/1996,8.3338,
4/1/1996,8.3301,
5/1/1996,8.3255,
6/1/1996,8.3221,
7/1/1996,8.3107,
8/1/1996,8.3063,
9/1/1996,8.3017,
10/1/1996,8.3,
11/1/1996,8.3012,
12/1/1996,8.2984,
1/1/1997,8.2934,
2/1/1997,8.2954,
3/1/1997,8.2955,
4/1/1997,8.2945,
5/1/1997,8.2921,
6/1/1997,8.2907,
7/1/1997,8.2903,
8/1/1997,8.2884,
9/1/1997,8.2849,
10/1/1997,8.2834,
11/1/1997,8.2796,
12/1/1997,8.2796,
1/1/1998,8.2785,
2/1/1998,8.2789,
3/1/1998,8.2793,
4/1/1998,8.2779,
5/1/1998,8.2793,
6/1/1998,8.2797,
7/1/1998,8.2799,
8/1/1998,8.28,
9/1/1998,8.278,
10/1/1998,8.2778,
11/1/1998,8.2782,
12/1/1998,8.2789,
1/1/1999,8.2778,
2/1/1999,8.279,
3/1/1999,8.28,
4/1/1999,8.279,
5/1/1999,8.2784,
6/1/1999,8.2787,
7/1/1999,8.2774,
8/1/1999,8.277,
9/1/1999,8.2778,
10/1/1999,8.2778,
11/1/1999,8.2789,
12/1/1999,8.2795,
1/1/2000,8.2777,0.9695
2/1/2000,8.2786,0.9647
3/1/2000,8.2787,0.9562
4/1/2000,8.2799,0.9123
5/1/2000,8.2773,0.9379
6/1/2000,8.2782,0.9526
7/1/2000,8.2792,0.9263
8/1/2000,8.2786,0.8888
9/1/2000,8.2798,0.8839
10/1/2000,8.2775,0.8493
11/1/2000,8.2777,0.8724
12/1/2000,8.2774,0.9424
1/1/2001,8.2781,0.9365
2/1/2001,8.2783,0.9234
3/1/2001,8.2777,0.8778
4/1/2001,8.2774,0.8881
5/1/2001,8.277,0.8459
6/1/2001,8.2767,0.85
7/1/2001,8.277,0.8762
8/1/2001,8.2769,0.9124
9/1/2001,8.2768,0.9117
10/1/2001,8.2768,0.8998
11/1/2001,8.2772,0.8965
12/1/2001,8.2766,0.8909
1/1/2002,8.2765,0.8585
2/1/2002,8.2765,0.8686
3/1/2002,8.2774,0.8718
4/1/2002,8.2773,0.9002
5/1/2002,8.2765,0.9339
6/1/2002,8.2771,0.9918
7/1/2002,8.2767,0.9775
8/1/2002,8.2768,0.982
9/1/2002,8.2773,0.9868
10/1/2002,8.277,0.9907
11/1/2002,8.2773,0.9946
12/1/2002,8.2785,1.0501
1/1/2003,8.2784,1.0769
2/1/2003,8.2775,1.0798
3/1/2003,8.2774,1.0924
4/1/2003,8.2772,1.1183
5/1/2003,8.277,1.1787
6/1/2003,8.2775,1.1511
7/1/2003,8.2774,1.1231
8/1/2003,8.2772,1.098
9/1/2003,8.277,1.166
10/1/2003,8.2768,1.1584
11/1/2003,8.277,1.1994
12/1/2003,8.2767,1.2588
1/1/2004,8.2768,1.2469
2/1/2004,8.2769,1.249
3/1/2004,8.2771,1.2315
4/1/2004,8.2771,1.1982
5/1/2004,8.2768,1.2186
6/1/2004,8.2766,1.2187
7/1/2004,8.2769,1.202
8/1/2004,8.2766,1.2188
9/1/2004,8.2766,1.2432
10/1/2004,8.2765,1.2785
11/1/2004,8.2765,1.3293
12/1/2004,8.2765,1.3558
1/1/2005,8.2765,1.3034
2/1/2005,8.2765,1.3237
3/1/2005,8.2765,1.2963
4/1/2005,8.2765,1.2873
5/1/2005,8.2765,1.231
6/1/2005,8.2765,1.2102
7/1/2005,8.1056,1.213
8/1/2005,8.0998,1.2344
9/1/2005,8.0922,1.203
10/1/2005,8.0832,1.1988
11/1/2005,8.078,1.1789
12/1/2005,8.0702,1.1843
1/1/2006,8.0622,1.2155
2/1/2006,8.0404,1.1921
3/1/2006,8.0175,1.2119
4/1/2006,8.0139,1.2637
5/1/2006,8.024,1.2812
6/1/2006,7.9925,1.2789
7/1/2006,7.97,1.2763
8/1/2006,7.9549,1.2807
9/1/2006,7.9073,1.2672
10/1/2006,7.879,1.2763
11/1/2006,7.8333,1.3241
12/1/2006,7.8075,1.3199
1/1/2007,7.7748,1.3034
2/1/2007,7.738,1.3235
3/1/2007,7.7308,1.3358
4/1/2007,7.7055,1.3647
5/1/2007,7.6475,1.3453
6/1/2007,7.6135,1.3542
7/1/2007,7.5725,1.3673
8/1/2007,7.545,1.363
9/1/2007,7.506,1.4272
10/1/2007,7.4715,1.4481
11/1/2007,7.398,1.4632
12/1/2007,7.3041,1.459
1/1/2008,7.1822,1.4866
2/1/2008,7.1119,1.5181
3/1/2008,7.0124,1.5774
4/1/2008,6.9885,1.5617
5/1/2008,6.9425,1.5554
6/1/2008,6.8544,1.5756
7/1/2008,6.8315,1.5601
8/1/2008,6.8487,1.4674
9/1/2008,6.8451,1.4104
10/1/2008,6.8395,1.2733
11/1/2008,6.8259,1.2697
12/1/2008,6.823,1.398
1/1/2009,6.835,1.2783
2/1/2009,6.8396,1.2669
3/1/2009,6.8334,1.3251
4/1/2009,6.8185,1.3227
5/1/2009,6.8282,1.4154
6/1/2009,6.8305,1.4036
7/1/2009,6.832,1.425
8/1/2009,6.8304,1.433
9/1/2009,6.8265,1.4636
10/1/2009,6.8275,1.4718
11/1/2009,6.8275,1.5009
12/1/2009,6.827,1.4318
1/1/2010,6.8269,1.3863
2/1/2010,6.8261,1.3626
3/1/2010,6.8259,1.3512
4/1/2010,6.8252,1.3298
5/1/2010,6.8278,1.2306
6/1/2010,6.7817,1.2236
7/1/2010,6.774,1.3048
8/1/2010,6.8075,1.2687
9/1/2010,6.6917,1.3633
10/1/2010,6.6707,1.395
11/1/2010,6.667,1.298
12/1/2010,6.5906,1.3379
1/1/2011,6.6049,1.3686
2/1/2011,6.5716,1.3802
3/1/2011,6.5486,1.4166
4/1/2011,6.491,1.4802
5/1/2011,6.4795,1.4396
6/1/2011,6.4642,1.4506
7/1/2011,6.437,1.4396
8/1/2011,6.379,1.4379
9/1/2011,6.3822,1.3386
10/1/2011,6.3552,1.3858
11/1/2011,6.3788,1.3443
12/1/2011,6.2939,1.2948
1/1/2012,6.309,1.3078
2/1/2012,6.2938,1.3326
3/1/2012,6.298,1.3344
4/1/2012,6.3099,1.324
5/1/2012,6.3688,1.2358
6/1/2012,6.3537,1.266
7/1/2012,6.362,1.2304
8/1/2012,6.3485,1.2577
9/1/2012,6.2845,1.2858
10/1/2012,6.2373,1.296
11/1/2012,6.2267,1.2986
12/1/2012,6.2303,1.3196
1/1/2013,6.2188,1.3579
2/1/2013,6.2214,1.3056
3/1/2013,6.2108,1.282
4/1/2013,6.165,1.3167
5/1/2013,6.1348,1.2999
6/1/2013,6.1376,1.301
7/1/2013,6.1289,1.3302
8/1/2013,6.1195,1.3222
9/1/2013,6.1215,1.3526
10/1/2013,6.0945,1.3584
11/1/2013,6.0932,1.3591
12/1/2013,6.054,1.3746
1/1/2014,6.061,1.3487
2/1/2014,6.1451,1.3802
3/1/2014,6.2172,1.3771
4/1/2014,6.2594,1.3867
5/1/2014,6.2479,1.3631
6/1/2014,6.2038,1.3692
7/1/2014,6.174,1.3389
8/1/2014,6.1433,1.3133
9/1/2014,6.1385,1.2632
10/1/2014,6.1127,1.2525
11/1/2014,6.1432,1.2452
12/1/2014,6.2061,1.2099
1/1/2015,6.25,1.1288
2/1/2015,6.2696,1.1196
3/1/2015,6.1995,1.0731
4/1/2015,6.2028,1.1224
5/1/2015,6.1983,1.0988
6/1/2015,6.201,1.1138
7/1/2015,6.2097,1.0988
8/1/2015,6.3764,1.1215
9/1/2015,6.3571,1.1177
10/1/2015,6.3181,1.1005
11/1/2015,6.3982,1.0564
12/1/2015,6.4936,1.086
1/1/2016,6.5761,1.0837
2/1/2016,6.554,1.0873
3/1/2016,6.449,1.138
4/1/2016,6.4741,1.1456
5/1/2016,6.5829,1.1132
6/1/2016,6.648,1.1105
7/1/2016,6.6373,1.1174
8/1/2016,6.6793,1.1158
9/1/2016,6.6716,1.1241
10/1/2016,6.7758,1.0981
11/1/2016,6.8868,1.0588
12/1/2016,6.945,1.0516
1/1/2017,6.8816,1.0798
2/1/2017,6.8678,1.0577
3/1/2017,6.8871,1.0652
4/1/2017,6.8935,1.0897
5/1/2017,6.8101,1.1243
6/1/2017,6.7809,1.1426
7/1/2017,6.7265,1.1842
8/1/2017,6.5899,1.191
9/1/2017,6.6534,1.1814
10/1/2017,6.6349,1.1646
11/1/2017,6.6128,1.1904
12/1/2017,6.5066,1.1998
1/1/2018,6.2888,1.2421
2/1/2018,6.3311,1.2194
3/1/2018,6.2753,1.2323
4/1/2018,6.3332,1.2079
5/1/2018,6.4103,1.1692
6/1/2018,6.621,1.1685
7/1/2018,6.8127,1.1691
8/1/2018,6.8315,1.1601
9/1/2018,6.8689,1.1609
10/1/2018,6.9756,1.1312
11/1/2018,6.9605,1.1317
12/1/2018,6.8785,1.147
1/1/2019,6.7008,1.1446
2/1/2019,6.6941,1.1371
3/1/2019,6.712,1.1218
4/1/2019,6.7349,1.1217
5/1/2019,6.905,1.1169
6/1/2019,6.8668,1.137
7/1/2019,6.8841,1.1076
8/1/2019,7.1568,1.0991
9/1/2019,7.1483,1.09
10/1/2019,7.0395,1.1152
11/1/2019,7.0316,1.102
12/1/2019,6.9857,1.12023
1/1/2020,6.9357,1.102913
2/1/2020,6.9909,1.103
3/1/2020,7.0992,1.103047
4/1/2020,7.0754,1.087725
5/1/2020,7.1363,1.111
6/1/2020,7.1363,1.111852
6/2/2020,7.0992,1.117943
