DATE,NNBGFNQ027S,BOGZ1FA105019005Q
10/1/1946,5826,13352
1/1/1947,,
4/1/1947,,
7/1/1947,,
10/1/1947,8623,17287
1/1/1948,,
4/1/1948,,
7/1/1948,,
10/1/1948,10388,19082
1/1/1949,,
4/1/1949,,
7/1/1949,,
10/1/1949,10004,17256
1/1/1950,,
4/1/1950,,
7/1/1950,,
10/1/1950,11600,18934
1/1/1951,,
4/1/1951,,
7/1/1951,,
10/1/1951,11117,22748
1/1/1952,10715,24191
4/1/1952,10634,24961
7/1/1952,9635,23186
10/1/1952,10647,25087
1/1/1953,11166,26351
4/1/1953,11415,26718
7/1/1953,11722,27382
10/1/1953,11607,27044
1/1/1954,10798,26686
4/1/1954,11022,26486
7/1/1954,11626,26778
10/1/1954,12087,26515
1/1/1955,12366,26782
4/1/1955,13472,28162
7/1/1955,14020,30092
10/1/1955,13768,32281
1/1/1956,13390,33428
4/1/1956,12958,35049
7/1/1956,12820,36677
10/1/1956,12691,37311
1/1/1957,13070,38123
4/1/1957,12865,38396
7/1/1957,13299,39286
10/1/1957,13526,38259
1/1/1958,13546,34669
4/1/1958,13697,33244
7/1/1958,14174,32774
10/1/1958,15187,33989
1/1/1959,15299,35667
4/1/1959,15962,36780
7/1/1959,16103,37988
10/1/1959,15585,38339
1/1/1960,15254,40055
4/1/1960,15134,41057
7/1/1960,14958,40513
10/1/1960,15122,40169
1/1/1961,15243,39352
4/1/1961,15763,40169
7/1/1961,16385,40539
10/1/1961,17126,41825
1/1/1962,17656,42508
4/1/1962,18356,43707
7/1/1962,18656,44213
10/1/1962,18734,44068
1/1/1963,19142,44423
4/1/1963,20087,45737
7/1/1963,20560,47089
10/1/1963,21245,48577
1/1/1964,21906,49580
4/1/1964,21855,50967
7/1/1964,21989,52703
10/1/1964,22110,54211
1/1/1965,22708,57891
4/1/1965,23058,60165
7/1/1965,23422,62820
10/1/1965,23938,65935
1/1/1966,24462,69504
4/1/1966,24273,71698
7/1/1966,23963,72988
10/1/1966,23213,73639
1/1/1967,22591,72842
4/1/1967,23172,73165
7/1/1967,23550,73562
10/1/1967,24613,75819
1/1/1968,25523,78699
4/1/1968,26010,78525
7/1/1968,26883,80307
10/1/1968,28548,83580
1/1/1969,30271,86399
4/1/1969,31148,88254
7/1/1969,32101,90961
10/1/1969,31806,91366
1/1/1970,32086,92218
4/1/1970,32089,92803
7/1/1970,32763,93329
10/1/1970,33810,90856
1/1/1971,35360,92683
4/1/1971,37573,94455
7/1/1971,38795,95645
10/1/1971,40142,98730
1/1/1972,42366,103247
4/1/1972,43232,106237
7/1/1972,44082,108603
10/1/1972,46772,113938
1/1/1973,49179,118922
4/1/1973,49744,124379
7/1/1973,49898,128402
10/1/1973,48947,132061
1/1/1974,47196,135283
4/1/1974,46351,140318
7/1/1974,45932,144764
10/1/1974,43519,146208
1/1/1975,41787,142160
4/1/1975,41789,141666
7/1/1975,42795,144772
10/1/1975,43764,148629
1/1/1976,45593,154384
4/1/1976,46728,158606
7/1/1976,47424,164558
10/1/1976,50237,170595
1/1/1977,52683,181534
4/1/1977,56480,189835
7/1/1977,58524,197097
10/1/1977,61083,206233
1/1/1978,63478,211535
4/1/1978,70358,230480
7/1/1978,75447,241326
10/1/1978,81032,252832
1/1/1979,86405,263405
4/1/1979,89886,268494
7/1/1979,93803,281802
10/1/1979,93271,287967
1/1/1980,90556,299309
4/1/1980,82551,292716
7/1/1980,85665,300320
10/1/1980,93126,310974
1/1/1981,99565,325390
4/1/1981,104088,337652
7/1/1981,105417,349954
10/1/1981,105001,363137
1/1/1982,100375,362145
4/1/1982,95721,354627
7/1/1982,91653,346762
10/1/1982,90099,341156
1/1/1983,90882,334696
4/1/1983,93334,338187
7/1/1983,98218,351488
10/1/1983,103622,373068
1/1/1984,107692,383811
4/1/1984,113127,402864
7/1/1984,116774,415657
10/1/1984,120717,425355
1/1/1985,124104,428890
4/1/1985,126840,435636
7/1/1985,127150,430474
10/1/1985,129384,435451
1/1/1986,128850,435040
4/1/1986,129716,426716
7/1/1986,130596,422742
10/1/1986,133536,426954
1/1/1987,134236,412975
4/1/1987,136169,419807
7/1/1987,135735,429604
10/1/1987,131342,431070
1/1/1988,143770,436523
4/1/1988,140389,448358
7/1/1988,137242,453245
10/1/1988,138151,463658
1/1/1989,142437,474367
4/1/1989,143420,481727
7/1/1989,145194,498702
10/1/1989,140626,503907
1/1/1990,136528,517687
4/1/1990,129647,521047
7/1/1990,125057,532549
10/1/1990,119706,527814
1/1/1991,114942,525551
4/1/1991,114150,524220
7/1/1991,111776,520728
10/1/1991,108656,520254
1/1/1992,106659,522326
4/1/1992,107379,539151
7/1/1992,109023,548229
10/1/1992,113846,554437
1/1/1993,118997,562631
4/1/1993,124120,576598
7/1/1993,127304,575124
10/1/1993,131776,596986
1/1/1994,131054,606927
4/1/1994,134226,614942
7/1/1994,136472,629134
10/1/1994,141634,667901
1/1/1995,149216,698356
4/1/1995,151901,710476
7/1/1995,155753,722097
10/1/1995,157195,734313
1/1/1996,157530,747597
4/1/1996,159662,763703
7/1/1996,162074,787030
10/1/1996,164494,802981
1/1/1997,168115,822713
4/1/1997,171848,838966
7/1/1997,177724,868503
10/1/1997,177799,858482
1/1/1998,179985,880658
4/1/1998,185794,899379
7/1/1998,188176,903738
10/1/1998,194748,933018
1/1/1999,201213,957135
4/1/1999,207270,990076
7/1/1999,212377,1008033
10/1/1999,216440,1016093
1/1/2000,224139,1063188
4/1/2000,229232,1100256
7/1/2000,230931,1113624
10/1/2000,230328,1113155
1/1/2001,228529,1104026
4/1/2001,227442,1081431
7/1/2001,228080,1061378
10/1/2001,227037,998488
1/1/2002,230812,974288
4/1/2002,234645,954336
7/1/2002,236235,942291
10/1/2002,236774,937303
1/1/2003,237747,944939
4/1/2003,241137,970873
7/1/2003,248615,993490
10/1/2003,253694,996923
1/1/2004,255583,976403
4/1/2004,264874,1005938
7/1/2004,273361,1040604
10/1/2004,279951,1074171
1/1/2005,287385,1106872
4/1/2005,295485,1139052
7/1/2005,303556,1174146
10/1/2005,309700,1195070
1/1/2006,317407,1242499
4/1/2006,319355,1273841
7/1/2006,320198,1296002
10/1/2006,323233,1324364
1/1/2007,329015,1342772
4/1/2007,337104,1372950
7/1/2007,338802,1437915
10/1/2007,340515,1421747
1/1/2008,336398,1435892
4/1/2008,334824,1451476
7/1/2008,329929,1437162
10/1/2008,307880,1365580
1/1/2009,280496,1248136
4/1/2009,263273,1191025
7/1/2009,257538,1174191
10/1/2009,253699,1189799
1/1/2010,247738,1180398
4/1/2010,253481,1232024
7/1/2010,249311,1268195
10/1/2010,250973,1307545
1/1/2011,247170,1314122
4/1/2011,252923,1356004
7/1/2011,265287,1416939
10/1/2011,271042,1451022
1/1/2012,281922,1511901
4/1/2012,288443,1542669
7/1/2012,289773,1540746
10/1/2012,298920,1554789
1/1/2013,309285,1529920
4/1/2013,314230,1580088
7/1/2013,320212,1618903
10/1/2013,336350,1637172
1/1/2014,343293,1695726
4/1/2014,348994,1725783
7/1/2014,360940,1777749
10/1/2014,363264,1784836
1/1/2015,358854,1787149
4/1/2015,361763,1785482
7/1/2015,364743,1807307
10/1/2015,361483,1752889
1/1/2016,366074,1733960
4/1/2016,371296,1733056
7/1/2016,376400,1754410
10/1/2016,381270,1763246
1/1/2017,389303,1819530
4/1/2017,394185,1840386
7/1/2017,398338,1871109
10/1/2017,408791,1905252
1/1/2018,416639,1948157
4/1/2018,424757,1994946
7/1/2018,427314,2016273
10/1/2018,430388,2044714
1/1/2019,430548,2069102
4/1/2019,427408,2076899
7/1/2019,426046,2065630
10/1/2019,425916,2055748
1/1/2020,436861,2015354
